Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
G1,10/09/16,Kerkyra,Platanias,0,1,A,0,1,A,2.4,3,3.2,,,,2.45,2.9,3.05,2.4,2.9,3.1,2.54,3.1,3.25,2.45,2.88,3,2.4,3,3.1,48,2.55,2.44,3.1,2.93,3.25,3.01,37,2.63,2.57,1.5,1.46,23,-0.25,2.16,2.08,1.82,1.74,3.04,2.77,2.99
G1,10/09/16,Levadeiakos,Panathinaikos,0,3,A,0,2,A,6.5,3.4,1.62,5.25,3.75,1.6,5.5,3.6,1.6,5.75,3.6,1.62,6.43,3.84,1.63,5,3.5,1.65,5.75,3.6,1.6,49,6.5,5.58,3.84,3.56,1.65,1.61,37,2.3,2.18,1.68,1.63,26,0.75,2.09,2,1.88,1.81,10.53,4.48,1.41
G1,10/09/16,Panionios,Asteras Tripolis,3,0,H,1,0,H,2.5,3,3,2.55,2.95,2.85,2.6,2.9,2.85,2.62,3,2.8,2.76,3.13,2.93,2.6,2.88,2.8,2.55,3,2.8,49,2.76,2.58,3.13,2.94,3,2.82,37,2.63,2.49,1.51,1.49,28,0,1.91,1.82,2.05,1.98,3.19,2.84,2.78
G1,11/09/16,AEK,Xanthi,4,1,H,3,1,H,1.36,4.33,9.5,1.4,4,9,1.4,4.1,8.75,1.4,4,9.5,1.43,4.31,10.94,1.36,4,9.5,1.36,4.2,9,46,1.42,1.38,4.33,4.09,10.94,9.02,36,2.33,2.19,1.65,1.62,22,-1.25,2.07,1.98,1.9,1.84,1.4,4.53,10.95
G1,11/09/16,Giannina,Atromitos,3,0,H,2,0,H,2.4,3,3.2,2.3,2.9,3.3,2.35,2.9,3.2,2.38,3,3.25,2.44,3.11,3.4,2.38,2.88,3.1,2.3,3,3.2,49,2.47,2.35,3.11,2.93,3.4,3.15,38,2.71,2.57,1.5,1.46,26,-0.25,2.08,2.01,1.87,1.81,2.65,2.87,3.33
G1,11/09/16,Olympiakos,Veria,6,1,H,3,0,H,1.13,8,19,1.14,6.75,18,1.12,7.25,19.5,1.13,8,21,,,,1.1,7.5,21,1.1,8,22,42,1.15,1.11,8.05,7.46,29,19.93,33,1.53,1.49,2.64,2.49,26,-2.25,1.96,1.9,1.98,1.91,1.09,12.2,37
G1,11/09/16,PAOK,Panetolikos,2,1,H,2,0,H,1.3,5,11,1.28,4.75,11,1.3,4.7,9.25,1.33,4.75,10,1.34,5.14,11.71,1.33,4.4,9,1.3,4.75,10,48,1.34,1.3,5.14,4.7,11.71,9.81,41,1.95,1.87,1.95,1.87,28,-1.5,2.08,2,1.87,1.81,1.29,5.59,14.13
G1,12/09/16,Larisa,Iraklis,2,2,D,1,1,D,1.75,3.25,5.25,1.75,3.25,5,1.75,3.25,4.95,1.75,3.25,5.25,1.81,3.41,5.6,1.8,3.1,4.75,1.75,3.25,5,44,1.81,1.76,3.45,3.25,5.6,4.88,33,2.55,2.44,1.57,1.5,22,-0.75,2.1,2.03,1.86,1.79,1.68,3.53,6.94
G1,17/09/16,Platanias,Levadeiakos,3,2,H,3,1,H,1.8,3.3,4.2,1.91,3.1,4.2,1.8,3.2,4.7,1.83,3.2,4.75,1.88,3.35,5.16,1.83,3,4.75,1.8,3.13,4.8,53,1.91,1.82,3.35,3.18,5.16,4.54,37,2.76,2.58,1.55,1.45,25,-0.5,1.9,1.82,2.06,1.97,1.64,3.65,7.09
G1,17/09/16,Veria,AEK,0,2,A,0,1,A,6.5,4,1.44,6.75,3.8,1.5,6.75,3.9,1.5,7,3.8,1.5,8.01,4.06,1.53,7,3.6,1.5,7,3.75,1.5,51,8.01,6.76,4.25,3.85,1.53,1.48,36,2.31,2.15,1.75,1.64,26,1,2,1.91,2,1.89,13.03,5.41,1.31
